epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
93,605.214,0.33782,0.62012,0.2464,0.9431,0,0.99863,1,0.995,0.94875,0.99863,1,0.995,0.9325,0.35917,0.50937,0.2762,0.62282,0,0.0007856,0.0007856,0.0007856
94,611.602,0.35214,0.60199,0.25754,0.95358,0,0.99938,1,0.995,0.95842,0.99938,1,0.995,0.91604,0.37204,0.57558,0.31292,0.6765,0,0.0007724,0.0007724,0.0007724
95,617.836,0.34397,0.60721,0.25112,0.94332,0,0.99943,1,0.995,0.95774,0.99943,1,0.995,0.94943,0.34186,0.47952,0.23365,0.60214,0,0.0007592,0.0007592,0.0007592
96,624.195,0.33403,0.60185,0.25818,0.94036,0,0.99889,1,0.995,0.9675,0.99889,1,0.995,0.94447,0.30306,0.52341,0.26,0.58123,0,0.000746,0.000746,0.000746
97,630.838,0.32714,0.59124,0.2476,0.94349,0,0.99945,1,0.995,0.95646,0.99945,1,0.995,0.94042,0.32428,0.50201,0.24067,0.58884,0,0.0007328,0.0007328,0.0007328
98,637.677,0.3358,0.58513,0.24458,0.94446,0,0.99923,1,0.995,0.95372,0.99923,1,0.995,0.94363,0.33377,0.456,0.31539,0.61457,0,0.0007196,0.0007196,0.0007196
99,644.346,0.34498,0.60532,0.24963,0.95629,0,0.99916,1,0.995,0.96098,0.99916,1,0.995,0.93645,0.32135,0.52699,0.35437,0.62873,0,0.0007064,0.0007064,0.0007064
100,651.002,0.3305,0.60083,0.24209,0.9465,0,0.99935,1,0.995,0.96202,0.99935,1,0.995,0.94655,0.29379,0.52429,0.2395,0.60931,0,0.0006932,0.0006932,0.0006932
101,657.795,0.32448,0.59861,0.24696,0.93497,0,0.99922,1,0.995,0.95895,0.99922,1,0.995,0.94285,0.30163,0.48857,0.24737,0.60822,0,0.00068,0.00068,0.00068
102,664.599,0.3402,0.61607,0.25431,0.9514,0,0.99926,1,0.995,0.95325,0.99926,1,0.995,0.94177,0.35007,0.47588,0.31457,0.62615,0,0.0006668,0.0006668,0.0006668
103,671.519,0.32959,0.59169,0.2581,0.95421,0,0.99921,1,0.995,0.94201,0.99921,1,0.995,0.9501,0.32232,0.4861,0.38295,0.6224,0,0.0006536,0.0006536,0.0006536
104,678.254,0.31352,0.55649,0.23248,0.92578,0,0.99937,1,0.995,0.94264,0.99937,1,0.995,0.94609,0.33738,0.50413,0.30571,0.61775,0,0.0006404,0.0006404,0.0006404
105,684.925,0.32598,0.57936,0.25354,0.94144,0,0.99948,1,0.995,0.95254,0.99948,1,0.995,0.94642,0.35121,0.53566,0.24645,0.617,0,0.0006272,0.0006272,0.0006272
106,691.19,0.32752,0.59069,0.24013,0.93925,0,0.99937,1,0.995,0.94384,0.99937,1,0.995,0.93138,0.37334,0.54223,0.23769,0.63207,0,0.000614,0.000614,0.000614
107,697.915,0.33684,0.58415,0.24253,0.94784,0,0.9991,1,0.995,0.93385,0.9991,1,0.995,0.94423,0.39835,0.48623,0.24835,0.64435,0,0.0006008,0.0006008,0.0006008
108,704.744,0.3362,0.61199,0.24977,0.94625,0,0.99919,1,0.995,0.95117,0.99919,1,0.995,0.94254,0.35793,0.50264,0.2839,0.64136,0,0.0005876,0.0005876,0.0005876
109,711.346,0.33041,0.57109,0.2472,0.93959,0,0.99938,1,0.995,0.94955,0.99938,1,0.995,0.93706,0.34029,0.49948,0.26887,0.61458,0,0.0005744,0.0005744,0.0005744
110,717.624,0.33454,0.58864,0.25023,0.94262,0,0.99943,1,0.995,0.94492,0.99943,1,0.995,0.94813,0.35313,0.49618,0.25574,0.62476,0,0.0005612,0.0005612,0.0005612
111,724.636,0.31758,0.54609,0.22876,0.93629,0,0.99939,1,0.995,0.95922,0.99939,1,0.995,0.93552,0.33064,0.5336,0.2273,0.60759,0,0.000548,0.000548,0.000548
112,731.691,0.32857,0.61836,0.24846,0.93817,0,0.99938,1,0.995,0.95841,0.99938,1,0.995,0.93682,0.3069,0.53248,0.23147,0.5707,0,0.0005348,0.0005348,0.0005348
113,738.723,0.3291,0.54789,0.23877,0.94193,0,0.99937,1,0.995,0.95699,0.99937,1,0.995,0.94055,0.33778,0.45948,0.2596,0.58997,0,0.0005216,0.0005216,0.0005216
114,745.962,0.31934,0.57296,0.22965,0.93189,0,0.99932,1,0.995,0.95173,0.99932,1,0.995,0.94142,0.33477,0.48816,0.24016,0.58439,0,0.0005084,0.0005084,0.0005084
115,752.98,0.32675,0.58486,0.24179,0.94587,0,0.99942,1,0.995,0.96074,0.99942,1,0.995,0.94499,0.29922,0.52021,0.22834,0.56989,0,0.0004952,0.0004952,0.0004952
116,759.989,0.31232,0.55149,0.22906,0.93384,0,0.99916,1,0.995,0.9636,0.99916,1,0.995,0.9416,0.32337,0.48499,0.29044,0.59856,0,0.000482,0.000482,0.000482
117,766.978,0.33715,0.619,0.24603,0.9429,0,0.99943,1,0.995,0.94903,0.99943,1,0.995,0.94561,0.33936,0.51663,0.25051,0.6018,0,0.0004688,0.0004688,0.0004688
118,773.974,0.31605,0.56646,0.23239,0.93233,0,0.99938,1,0.995,0.95781,0.99938,1,0.995,0.9435,0.33031,0.53798,0.26117,0.58804,0,0.0004556,0.0004556,0.0004556
119,780.876,0.30697,0.56978,0.22501,0.93183,0,0.99918,1,0.995,0.94913,0.99918,1,0.995,0.95058,0.34961,0.51044,0.27948,0.58711,0,0.0004424,0.0004424,0.0004424
120,787.909,0.31344,0.5886,0.23699,0.9257,0,0.99926,1,0.995,0.96146,0.99926,1,0.995,0.94161,0.32102,0.49372,0.25933,0.55479,0,0.0004292,0.0004292,0.0004292
121,794.942,0.31052,0.54532,0.21761,0.93446,0,0.99944,1,0.995,0.96019,0.99944,1,0.995,0.94605,0.30827,0.44988,0.30286,0.56878,0,0.000416,0.000416,0.000416
122,801.896,0.30517,0.54128,0.22666,0.93119,0,0.99949,1,0.995,0.97106,0.99949,1,0.995,0.94822,0.28473,0.51511,0.27204,0.55911,0,0.0004028,0.0004028,0.0004028
