epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
78,1497.19,0.6406,0.84923,0.3175,0.01169,0.41126,0.99216,0.96634,0.9938,0.8886,0.99216,0.96634,0.9938,0.92255,0.40991,0.57475,0.20678,0.01612,0,0.00484272,0.00484272,0.00484272
79,1515.96,0.60049,0.79434,0.2845,0.01106,0.35996,0.95577,0.98969,0.99317,0.82246,0.95577,0.98969,0.99317,0.90167,0.76307,0.7054,0.23694,0.03076,0,0.00473919,0.00473919,0.00473919
80,1534.66,0.62937,0.78825,0.2901,0.01117,0.35743,0.97348,0.98473,0.99409,0.8317,0.97348,0.98473,0.99409,0.88014,0.74496,0.55021,0.26564,0.03268,0,0.00463579,0.00463579,0.00463579
81,1553.33,0.60525,0.76629,0.29437,0.01119,0.3755,0.98637,0.9771,0.99448,0.80794,0.98637,0.9771,0.99448,0.88324,0.81934,0.55868,0.32243,0.03523,0,0.00453258,0.00453258,0.00453258
82,1571.94,0.64702,0.82357,0.31743,0.01191,0.39265,0.98454,0.98473,0.99383,0.85715,0.98454,0.98473,0.99383,0.91244,0.63326,0.5181,0.34086,0.02648,0,0.0044296,0.0044296,0.0044296
83,1590.43,0.64657,0.77133,0.32069,0.01198,0.38592,0.98413,0.99237,0.99492,0.80495,0.98413,0.99237,0.99492,0.89551,0.83353,0.51844,0.38341,0.03469,0,0.00432689,0.00432689,0.00432689
84,1609.18,0.57164,0.74019,0.28137,0.01058,0.33519,0.98165,1,0.9947,0.85235,0.98165,1,0.9947,0.9267,0.64245,0.51515,0.35304,0.02494,0,0.00422449,0.00422449,0.00422449
85,1627.74,0.60129,0.7546,0.2943,0.0109,0.35424,0.98488,0.99437,0.99477,0.85294,0.98488,0.99437,0.99477,0.93454,0.6591,0.50702,0.2869,0.02522,0,0.00412246,0.00412246,0.00412246
86,1646.4,0.5554,0.71418,0.27677,0.00954,0.34251,0.98666,1,0.99477,0.87542,0.98666,1,0.99477,0.9242,0.55724,0.55503,0.33083,0.0219,0,0.00402084,0.00402084,0.00402084
87,1665.1,0.56854,0.77056,0.28371,0.01005,0.34947,0.99203,0.95004,0.9874,0.86321,0.99203,0.95004,0.9874,0.92748,0.58264,0.52793,0.43815,0.02374,0,0.00391966,0.00391966,0.00391966
88,1683.87,0.55757,0.74585,0.27785,0.00977,0.33496,0.97028,0.99699,0.99408,0.88974,0.97028,0.99699,0.99408,0.91702,0.50325,0.54798,0.19553,0.02053,0,0.00381899,0.00381899,0.00381899
89,1702.53,0.53488,0.73606,0.28547,0.00937,0.35385,0.97027,0.99655,0.99362,0.87159,0.97027,0.99655,0.99362,0.89971,0.56475,0.53584,0.21043,0.02394,0,0.00371885,0.00371885,0.00371885
90,1721.17,0.5601,0.75982,0.28417,0.00972,0.36774,0.99086,0.91603,0.98974,0.88207,0.99086,0.91603,0.98974,0.90684,0.47773,0.52055,0.23262,0.01898,0,0.00361929,0.00361929,0.00361929
91,1739.77,0.54242,0.73755,0.26304,0.00937,0.34738,0.98751,0.99237,0.99485,0.87059,0.98751,0.99237,0.99485,0.91214,0.57398,0.50558,0.24869,0.02332,0,0.00352037,0.00352037,0.00352037
92,1758.52,0.51972,0.70381,0.2509,0.00944,0.32312,0.9781,0.98473,0.99372,0.86545,0.9781,0.98473,0.99372,0.89285,0.63481,0.52861,0.22551,0.02664,0,0.00342211,0.00342211,0.00342211
93,1777.14,0.52375,0.7216,0.26079,0.00924,0.33553,0.99906,0.98473,0.99478,0.88926,0.99906,0.98473,0.99478,0.91858,0.4853,0.53223,0.17426,0.01981,0,0.00332457,0.00332457,0.00332457
94,1795.71,0.54881,0.76659,0.2554,0.00995,0.33611,0.99227,0.96947,0.99425,0.86232,0.99227,0.96947,0.99425,0.91333,0.63614,0.52663,0.20286,0.02623,0,0.00322778,0.00322778,0.00322778
95,1814.31,0.54657,0.76959,0.28181,0.00983,0.34198,0.99139,0.9771,0.99462,0.87946,0.99139,0.9771,0.99462,0.94149,0.54468,0.46327,0.18241,0.02071,0,0.0031318,0.0031318,0.0031318
96,1832.99,0.53835,0.75772,0.25435,0.0093,0.33582,0.98981,0.99237,0.99492,0.8671,0.98981,0.99237,0.99492,0.92968,0.62096,0.4933,0.18471,0.02463,0,0.00303665,0.00303665,0.00303665
97,1851.58,0.51317,0.68871,0.23631,0.00876,0.3298,0.98467,1,0.99477,0.8787,0.98467,1,0.99477,0.93289,0.54426,0.50187,0.17831,0.02173,0,0.00294239,0.00294239,0.00294239
98,1870.21,0.48463,0.68398,0.23965,0.00839,0.30918,1,0.99906,0.995,0.8825,1,0.99906,0.995,0.92944,0.52882,0.49159,0.18485,0.02168,0,0.00284906,0.00284906,0.00284906
99,1888.82,0.50058,0.69308,0.24218,0.00851,0.32265,0.99736,0.98473,0.9947,0.86217,0.99736,0.98473,0.9947,0.92679,0.63393,0.4993,0.23022,0.02552,0,0.00275668,0.00275668,0.00275668
100,1907.43,0.53718,0.69002,0.26464,0.00938,0.33689,0.9827,0.98473,0.99325,0.87271,0.9827,0.98473,0.99325,0.93625,0.53286,0.47037,0.22691,0.02109,0,0.00266532,0.00266532,0.00266532
101,1926.16,0.54754,0.67255,0.263,0.00943,0.31055,0.98465,0.97909,0.9939,0.93557,0.98465,0.97909,0.9939,0.93865,0.37513,0.46631,0.17898,0.01519,0,0.002575,0.002575,0.002575
102,1944.88,0.53921,0.66849,0.25166,0.00957,0.32035,0.99754,1,0.995,0.88093,0.99754,1,0.995,0.93374,0.52172,0.48344,0.1816,0.02,0,0.00248577,0.00248577,0.00248577
103,1963.41,0.52182,0.67044,0.23714,0.00913,0.31703,0.9999,0.99237,0.995,0.92788,0.9999,0.99237,0.995,0.92845,0.40663,0.51573,0.1552,0.01596,0,0.00239766,0.00239766,0.00239766
104,1982.19,0.48488,0.63195,0.2275,0.00859,0.28915,0.98584,0.96183,0.99389,0.90139,0.98584,0.96183,0.99389,0.9381,0.43838,0.48562,0.21373,0.01776,0,0.00231071,0.00231071,0.00231071
105,2000.77,0.47423,0.68072,0.2314,0.00837,0.29753,0.98295,1,0.99485,0.86915,0.98295,1,0.99485,0.90356,0.6126,0.51974,0.19453,0.02545,0,0.00222497,0.00222497,0.00222497
106,2019.35,0.49789,0.66587,0.24937,0.00888,0.30716,0.99235,0.99066,0.99469,0.87812,0.99235,0.99066,0.99469,0.93386,0.55919,0.51939,0.1836,0.02189,0,0.00214046,0.00214046,0.00214046
107,2037.89,0.47362,0.67059,0.24333,0.00828,0.31983,0.98684,0.99237,0.99485,0.90063,0.98684,0.99237,0.99485,0.94262,0.46255,0.48016,0.15891,0.01846,0,0.00205723,0.00205723,0.00205723
108,2056.79,0.47484,0.66544,0.23606,0.00815,0.31147,0.98134,1,0.99485,0.92947,0.98134,1,0.99485,0.94545,0.39218,0.46367,0.14746,0.01561,0,0.00197532,0.00197532,0.00197532
109,2075.44,0.47833,0.67217,0.23353,0.00827,0.30602,0.99887,0.98473,0.99492,0.9098,0.99887,0.98473,0.99492,0.93639,0.44269,0.46608,0.14479,0.01715,0,0.00189475,0.00189475,0.00189475
110,2094.12,0.48503,0.65945,0.25279,0.00832,0.28903,1,0.99799,0.995,0.89671,1,0.99799,0.995,0.94831,0.48218,0.45896,0.15221,0.01884,0,0.00181557,0.00181557,0.00181557
111,2112.81,0.47899,0.69089,0.24775,0.00846,0.3107,1,0.99974,0.995,0.89393,1,0.99974,0.995,0.94744,0.47831,0.44681,0.15185,0.01896,0,0.0017378,0.0017378,0.0017378
112,2131.49,0.46422,0.6632,0.22556,0.00821,0.29371,0.99893,0.99237,0.995,0.9029,0.99893,0.99237,0.995,0.9332,0.458,0.47657,0.1509,0.01733,0,0.00166149,0.00166149,0.00166149
113,2150.13,0.46585,0.68824,0.23943,0.00811,0.30268,0.99056,1,0.99455,0.90645,0.99056,1,0.99455,0.93614,0.45048,0.46823,0.14017,0.01755,0,0.00158667,0.00158667,0.00158667
114,2168.79,0.4597,0.66166,0.23157,0.00775,0.29875,0.9848,0.98884,0.99469,0.8826,0.9848,0.98884,0.99469,0.93026,0.50736,0.4627,0.16817,0.01995,0,0.00151336,0.00151336,0.00151336
115,2187.46,0.47769,0.6697,0.25497,0.00799,0.30607,0.99241,0.9977,0.99492,0.90692,0.99241,0.9977,0.99492,0.94126,0.43415,0.46998,0.14894,0.01696,0,0.00144161,0.00144161,0.00144161
116,2206.11,0.46969,0.6431,0.2321,0.00814,0.27627,0.97732,0.98681,0.99454,0.88046,0.97732,0.98681,0.99454,0.93765,0.5428,0.48158,0.1848,0.02185,0,0.00137143,0.00137143,0.00137143
117,2224.78,0.45476,0.63118,0.21458,0.00794,0.28881,0.98389,1,0.99424,0.91542,0.98389,1,0.99424,0.93514,0.43505,0.47325,0.14832,0.0177,0,0.00130287,0.00130287,0.00130287
